Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20
"Travis, CA (From Diamond Princess)",US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"Lackland, TX (From Diamond Princess)",US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,Lebanon,17.0608,-61.7964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,4,10,13,13,13,16,22,22,32,32,41,61,61,77,93,
None,Iraq,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unassigned Location (From Diamond Princess),US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,42,42,44,44,44,45,45,45,45,45,45,45,45,,,,,,
,Oman,17.0608,-61.7964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,4,6,6,6,12,15,16,16,16,16,16,18,18,18,19,19,
,Afghanistan,17.0608,-61.7964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,
,Bahrain,17.0608,-61.7964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,33,33,36,41,47,49,49,52,55,60,85,85,95,110,195,195,189,210,
,Iraq,17.0608,-61.7964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,7,13,19,26,32,35,35,40,54,60,60,71,71,71,101,110,
,Kuwait,17.0608,-61.7964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,26,43,45,45,45,56,56,56,58,58,61,64,64,69,72,80,80,104,
None,Austria,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
